code;neighbors
CA;OR,NV
NH;VT
OR;WA
ND;SD
TX;""
PR;""
NV;OR,UT
OH;PA,WV
KY;OH,MO,WV,VA,TN
GU;""
NY;PA,VT
HI;""
NM;TX,OK,UT
IN;KY,OH,MI
MS;TN
DC;VA,MD
WV;""
NE;SD,WY
FL;GA
MO;NE,OK,TN
AR;TX,MS,MO,OK,LA,TN
ME;NH
CT;NY,RI,MA
NC;VA,SC,TN
WI;""
SD;WY
RI;""
OK;TX
ID;WA,OR,NV,MT,UT,WY
GA;NC,SC,TN
MN;SD,WI,ND
PA;WV
AK;""
MD;PA,WV,VA
LA;TX,MS
WY;""
MT;SD,ND,WY
IL;KY,WI,MO,IN
TN;VA
NJ;PA,NY
MI;OH,WI
WA;""
MA;NY,VT,RI,NH
AL;GA,MS,FL,TN
MP;""
IA;NE,SD,WI,MO,MN,IL
UT;WY
CO;NE,NM,OK,KS,UT,WY
VT;""
SC;""
VI;""
AS;""
VA;WV
DE;PA,NJ,MD
AZ;NM,CA,NV,CO,UT
KS;NE,MO,OK
