user_id,followers,publicRepos,contributed_to_neo4j
1,0.0,34.0,False
31,148.0,27.0,False
32,594.0,217.0,True
33,29.0,66.0,False
34,17.0,22.0,False
35,2.0,0.0,False
36,112.0,155.0,False
37,0.0,0.0,False
38,1.0,6.0,False
39,2.0,24.0,False
40,55.0,9.0,True
41,66.0,77.0,True
42,62.0,40.0,True
43,9.0,19.0,True
44,12.0,14.0,True
45,76.0,27.0,True
46,62.0,101.0,True
47,5.0,3.0,True
48,109.0,47.0,True
49,7.0,8.0,True
50,46.0,20.0,True
51,14.0,22.0,True
52,197.0,96.0,True
53,18.0,4.0,True
54,10.0,19.0,True
55,66.0,33.0,True
56,20.0,28.0,True
57,22.0,22.0,True
58,4.0,3.0,True
59,43.0,39.0,True
60,188.0,98.0,True
61,84.0,48.0,True
62,5.0,9.0,True
63,28.0,48.0,True
64,3.0,4.0,True
65,21.0,23.0,True
66,6.0,19.0,True
67,52.0,7.0,True
68,120.0,2.0,True
69,3.0,9.0,True
80,4.0,29.0,False
81,85.0,37.0,False
82,5.0,4.0,False
83,17.0,16.0,False
84,60.0,116.0,False
85,69.0,119.0,False
86,53.0,25.0,False
87,31.0,7.0,False
88,1726.0,24.0,False
89,45.0,154.0,False
90,217.0,236.0,False
91,445.0,157.0,False
92,31.0,32.0,False
93,5.0,8.0,False
94,19.0,35.0,False
95,49.0,2434.0,False
96,14.0,18.0,False
97,294.0,635.0,False
98,180.0,1137.0,False
99,122.0,32.0,False
100,31.0,71.0,False
101,27.0,47.0,False
102,198.0,8.0,False
103,36.0,24.0,False
104,146.0,47.0,True
105,2.0,12.0,False
106,76.0,16.0,False
107,6.0,7.0,False
108,98.0,47.0,False
109,14.0,287.0,False
110,22.0,45.0,False
111,3.0,3.0,False
112,40.0,152.0,False
113,39.0,490.0,False
114,51.0,118.0,False
115,254.0,214.0,True
116,22.0,70.0,False
117,12.0,6.0,False
118,10.0,10.0,False
119,13.0,44.0,False
120,55.0,60.0,False
121,30.0,21.0,False
122,37.0,11.0,False
123,17.0,19.0,False
124,705.0,875.0,False
125,16.0,8.0,False
126,4.0,10.0,False
127,8.0,25.0,False
128,11.0,26.0,False
129,16.0,34.0,False
